model,target,horizon,mae,rmse,r2,relative_persistence_improvement_pct
lstm,air_temperature_c,3,2.010648488998413,2.660847443844777,0.6651006937026978,15.734340185514387
lstm,air_temperature_c,4,2.311401844024658,3.091791631292932,0.5478992462158203,24.770469634294848
lstm,air_temperature_c,5,2.492093563079834,3.342478858121946,0.4722355008125305,33.400188446549514
lstm,air_temperature_c,6,2.460439682006836,3.2720896420032837,0.49502068758010864,43.796631991020384
lstm,air_humidity_pct,1,4.772421360015869,6.217096923720551,0.7779898643493652,-44.426522693638425
lstm,air_humidity_pct,2,5.8627848625183105,7.654100762590385,0.6673992872238159,-2.35031564632827
lstm,air_humidity_pct,3,6.4556427001953125,8.440481153757386,0.5990033149719238,15.571982707629337
lstm,air_humidity_pct,4,6.763168811798096,8.813696381001808,0.563461422920227,28.265331513927254
lstm,air_humidity_pct,5,6.999784469604492,9.099467469447816,0.5343701839447021,36.89289727981423
lstm,air_humidity_pct,6,7.374021053314209,9.478078747594655,0.49443477392196655,41.60147623492875
lstm,light_intensity,1,136.9263458251953,165.74153918827955,0.6967421770095825,-81.22681046969174
lstm,light_intensity,2,140.04261779785156,172.77964764585266,0.6701831221580505,-3.618739775394561
lstm,light_intensity,3,144.94329833984375,181.46235405036495,0.6361126899719238,23.686075868011272
lstm,light_intensity,4,148.78684997558594,187.05599512579116,0.6135209202766418,38.81590208832591
lstm,light_intensity,5,155.25425720214844,190.91530149191814,0.5976778268814087,47.244167935258275
lstm,light_intensity,6,164.16082763671875,196.126394195172,0.5758751630783081,52.157616670697095
