target,horizon,group,mean,std,count
air_humidity_pct,4,statistical_extreme,-2.7516140937805176,8.381288528442383,3329
air_humidity_pct,4,normal,0.43159034848213196,5.033963203430176,20221
air_humidity_pct,4,greenhouse:AICU,0.03389303386211395,4.877307415008545,3925
air_humidity_pct,4,greenhouse:Automatoes,-0.03540884330868721,5.151983737945557,3925
air_humidity_pct,4,greenhouse:Digilog,-0.008010572753846645,6.233517169952393,3925
air_humidity_pct,4,greenhouse:IUACAAS,0.028361564502120018,5.623296737670898,3925
air_humidity_pct,4,greenhouse:Reference,-0.04991590231657028,6.117518901824951,3925
air_humidity_pct,4,greenhouse:TheAutomators,-0.07922115921974182,6.266353130340576,3925
air_humidity_pct,5,all,-0.029273075982928276,5.7239203453063965,23550
air_humidity_pct,5,day,-0.017901763319969177,6.353395938873291,11802
air_humidity_pct,5,night,-0.040696654468774796,5.012551784515381,11748
air_humidity_pct,5,statistical_extreme,-2.762556791305542,8.385770797729492,3332
air_humidity_pct,5,normal,0.4211820662021637,5.013926029205322,20218
air_humidity_pct,5,greenhouse:AICU,0.02217753231525421,4.843739986419678,3925
air_humidity_pct,5,greenhouse:Automatoes,-0.04676062613725662,5.144517421722412,3925
air_humidity_pct,5,greenhouse:Digilog,-0.020212091505527496,6.227328777313232,3925
air_humidity_pct,5,greenhouse:IUACAAS,0.01473247166723013,5.6050639152526855,3925
air_humidity_pct,5,greenhouse:Reference,-0.054235994815826416,6.110641002655029,3925
air_humidity_pct,5,greenhouse:TheAutomators,-0.09133972972631454,6.253474712371826,3925
air_humidity_pct,6,all,-0.03895661607384682,5.7069220542907715,23550
air_humidity_pct,6,day,-0.019644612446427345,6.354240894317627,11796
air_humidity_pct,6,night,-0.05833761766552925,4.973217010498047,11754
air_humidity_pct,6,statistical_extreme,-2.772914171218872,8.365691184997559,3331
air_humidity_pct,6,normal,0.4114520251750946,4.9970574378967285,20219
air_humidity_pct,6,greenhouse:AICU,0.012102563865482807,4.807560443878174,3925
air_humidity_pct,6,greenhouse:Automatoes,-0.05605239421129227,5.130229473114014,3925
air_humidity_pct,6,greenhouse:Digilog,-0.031366705894470215,6.214591026306152,3925
air_humidity_pct,6,greenhouse:IUACAAS,0.002375068375840783,5.584339618682861,3925
air_humidity_pct,6,greenhouse:Reference,-0.058335334062576294,6.105922698974609,3925
air_humidity_pct,6,greenhouse:TheAutomators,-0.10246286541223526,6.235744476318359,3925
par_umol_m2_s,1,all,1.6183897256851196,104.96636199951172,23550
par_umol_m2_s,1,day,2.807036876678467,143.60226440429688,11808
par_umol_m2_s,1,night,0.4230610728263855,36.84334945678711,11742
par_umol_m2_s,1,statistical_extreme,60.615638732910156,169.4182586669922,4424
par_umol_m2_s,1,normal,-12.028155326843262,77.04547119140625,19126
par_umol_m2_s,1,greenhouse:AICU,1.511474370956421,105.64552307128906,3925
par_umol_m2_s,1,greenhouse:Automatoes,1.3089805841445923,92.94263458251953,3925
par_umol_m2_s,1,greenhouse:Digilog,1.788678526878357,114.7620620727539,3925
par_umol_m2_s,1,greenhouse:IUACAAS,1.7929999828338623,111.78007507324219,3925
par_umol_m2_s,1,greenhouse:Reference,1.6671195030212402,101.698486328125,3925
par_umol_m2_s,1,greenhouse:TheAutomators,1.641084909439087,101.4910888671875,3925
par_umol_m2_s,2,all,1.606982946395874,104.9531021118164,23550
par_umol_m2_s,2,day,2.807036876678467,143.60226440429688,11808
par_umol_m2_s,2,night,0.4001835286617279,36.76678466796875,11742
par_umol_m2_s,2,statistical_extreme,60.615638732910156,169.4182586669922,4424
par_umol_m2_s,2,normal,-12.042200088500977,77.02074432373047,19126
par_umol_m2_s,2,greenhouse:AICU,1.5450658798217773,105.63070678710938,3925
par_umol_m2_s,2,greenhouse:Automatoes,1.2691962718963623,92.89226531982422,3925
par_umol_m2_s,2,greenhouse:Digilog,1.7601336240768433,114.7519302368164,3925
par_umol_m2_s,2,greenhouse:IUACAAS,1.7895506620407104,111.78033447265625,3925
par_umol_m2_s,2,greenhouse:Reference,1.6403156518936157,101.6886215209961,3925
