method,fold,target,horizon,mae,rmse,r2,nmae,relative_seasonal_improvement_pct,config
persistence,rolling_3,air_humidity_pct,3,7.051490306854248,9.991368192319417,0.2754124402999878,0.2803773311742502,-48.38052721476648,deployment_compatible
persistence,rolling_3,air_humidity_pct,4,8.498627662658691,11.744521142024853,-0.0029751062393188477,0.33791758039910075,-79.08086650920443,deployment_compatible
persistence,rolling_3,air_humidity_pct,5,9.84837532043457,13.212520348885997,-0.2715519666671753,0.39158547606053884,-107.62077914714754,deployment_compatible
persistence,rolling_3,air_humidity_pct,6,11.022102355957031,14.460969155151739,-0.5260071754455566,0.43825454024785976,-132.43836694191873,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,1,0.5741786360740662,0.8532450441294229,0.9561076760292053,0.05297440837011049,30.10222088325089,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,2,0.8092838525772095,1.1416964789254824,0.921437680721283,0.07466549711235024,1.5065921704388114,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,3,1.1206880807876587,1.4679766303029074,0.8700013756752014,0.10339602401978373,-36.38448155362905,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,4,1.2660629749298096,1.623328816775097,0.8407805562019348,0.11680848579597297,-54.05116401721926,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,5,1.4206572771072388,1.8033298157935584,0.8031673431396484,0.1310715411949603,-72.83012382883965,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_temperature_c,6,1.3319542407989502,1.7306300103200103,0.8184219002723694,0.12288769286999777,-62.04131376649139,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,1,3.1819007396698,4.512905476705091,0.8525952696800232,0.12651692034275547,33.313317789932235,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,2,5.3868584632873535,7.108539775371389,0.6338318586349487,0.2141891903165243,-13.145929617943002,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,3,6.4007391929626465,8.395618622134991,0.48838138580322266,0.254502536963125,-34.687139127573836,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,4,6.2061848640441895,8.806513491195336,0.43606698513031006,0.24676677882735454,-30.77510949828479,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,5,6.8774824142456055,9.51712019374698,0.3402584195137024,0.2734585287069982,-44.98922014615807,deployment_compatible
seasonal_residual_xgboost,rolling_3,air_humidity_pct,6,7.463033199310303,10.258619080650892,0.23203825950622559,0.29674086467275057,-57.38333697685836,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,1,0.8103287816047668,1.3092148858184187,0.8966613411903381,0.07476190351542036,1.3544241634791119,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,2,0.812660813331604,1.3192115120766574,0.895108163356781,0.07497705955444371,1.095601179147198,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,3,0.8152168989181519,1.3343070269744053,0.8925980925559998,0.07521288707080095,0.7904732648123519,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,4,0.8259714245796204,1.3408081320857435,0.8913783431053162,0.0762051124836322,-0.5019986533494668,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,5,0.8177372813224792,1.338950791033762,0.8914884328842163,0.07544542056882274,0.5181349028809765,deployment_compatible
seasonal_residual_gru,rolling_3,air_temperature_c,6,0.8207100629806519,1.3413684055364274,0.890918493270874,0.0757196929636161,0.15502578602583833,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,1,4.5925211906433105,7.340347605693624,0.6100290417671204,0.18260520524890178,3.7493541626900413,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,2,4.65590238571167,7.404785784109148,0.6026760339736938,0.18512533213649426,2.207119932335153,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,3,4.6871538162231445,7.474729307242686,0.5944616794586182,0.18636793367189844,1.3708699688821295,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,4,4.701765537261963,7.508230652214639,0.5900841951370239,0.18694891658053894,0.9256223524705854,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,5,4.721213340759277,7.533843420983378,0.5865757465362549,0.18772218903848703,0.46866001395495227,deployment_compatible
seasonal_residual_gru,rolling_3,air_humidity_pct,6,4.745669364929199,7.560505753811578,0.5828776359558105,0.18869459550712112,-0.07851511506466537,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,1,0.8587135672569275,1.3167366043461064,0.8954705595970154,0.07922594176589122,-4.535709755905719,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,2,0.8273820877075195,1.320441290538636,0.8949124813079834,0.07633526195265623,-0.6960427246085427,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,3,0.8798977732658386,1.3494793046690874,0.8901417255401611,0.08118042197397728,-7.081001113807477,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,4,0.8746199011802673,1.356593520085098,0.8888056874275208,0.08069347917670086,-6.421415456774751,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,5,0.8297426700592041,1.3340370536445083,0.8922833800315857,0.07655305210650878,-0.9423811944331043,deployment_compatible
seasonal_residual_lstm,rolling_3,air_temperature_c,6,0.8364627957344055,1.348572615730904,0.8897436261177063,0.07717305894662858,-1.761401545065921,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,1,4.638552665710449,7.173286781065442,0.6275779604911804,0.18443548247651043,2.7846206274190792,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,2,4.6579976081848145,7.327052056147553,0.6109743118286133,0.18520864117609764,2.163111741643677,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,3,4.710146427154541,7.416590943825023,0.600745677947998,0.18728215273895246,0.8870494453357259,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,4,4.7759904861450195,7.502648458159209,0.590693473815918,0.18990020661551887,-0.6384264198956658,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,5,4.787534713745117,7.54912323566103,0.5848971009254456,0.1903592216015903,-0.9295091952198508,deployment_compatible
seasonal_residual_lstm,rolling_3,air_humidity_pct,6,4.793283462524414,7.570609544530243,0.5817619562149048,0.19058780006801232,-1.0826196616408814,deployment_compatible
seasonal_24,rolling_1,par_umol_m2_s,1,54.228702545166016,110.54411767762679,0.6433743238449097,0.14816585394854104,0.0,par_research
seasonal_24,rolling_1,par_umol_m2_s,2,54.10359573364258,110.50223590780867,0.6443541049957275,0.14782403205913272,0.0,par_research
seasonal_24,rolling_1,par_umol_m2_s,3,54.09061050415039,110.5017719385644,0.6452324986457825,0.14778855329002838,0.0,par_research
seasonal_24,rolling_1,par_umol_m2_s,4,54.03263854980469,110.49276171145782,0.6461589336395264,0.14763015997214396,0.0,par_research
seasonal_24,rolling_1,par_umol_m2_s,5,54.00236129760742,110.48927938662194,0.6465959548950195,0.14754743523936453,0.0,par_research
seasonal_24,rolling_1,par_umol_m2_s,6,54.001956939697266,110.48927938662194,0.6461730599403381,0.14754633043633134,0.0,par_research
persistence,rolling_1,par_umol_m2_s,1,51.907196044921875,87.14753228182941,0.7783582806587219,0.14182294001344775,4.280955271446157,par_research
persistence,rolling_1,par_umol_m2_s,2,91.47803497314453,137.432298673747,0.4498853087425232,0.24993998626542221,-69.07939986743222,par_research
persistence,rolling_1,par_umol_m2_s,3,127.54283905029297,178.81741517187302,0.07098019123077393,0.34847770232320485,-135.794785567278,par_research
persistence,rolling_1,par_umol_m2_s,4,162.41690063476562,215.51364878471153,-0.3461395502090454,0.4437620235922558,-200.59035611421706,par_research
persistence,rolling_1,par_umol_m2_s,5,193.4216766357422,246.87606803566442,-0.7643680572509766,0.5284745263271644,-258.172627988976,par_research
persistence,rolling_1,par_umol_m2_s,6,219.77919006347656,272.1815369610878,-1.1471774578094482,0.6004895903373677,-306.9837511794228,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,1,41.52651596069336,80.4728306004191,0.8110095262527466,0.113460426122113,23.423364359295256,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,2,46.48481369018555,85.64381351252844,0.7863673567771912,0.12700768767810258,14.081840476860464,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,3,58.972286224365234,96.84391638417459,0.7275103330612183,0.16112646509389408,-9.024996528446044,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,4,65.73966217041016,99.04027747588351,0.7157082557678223,0.17961656330713158,-21.666577710830275,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,5,70.45032501220703,100.8359347761873,0.7056515216827393,0.19248722680930883,-30.45786021087996,par_research
seasonal_residual_xgboost,rolling_1,par_umol_m2_s,6,73.6873550415039,101.62045461852156,0.7006957530975342,0.20133157115165,-36.453119881912556,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,1,45.24074935913086,87.15613515141231,0.7783145308494568,0.12360860480636847,16.574162324000408,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,2,48.15326690673828,93.55103365777153,0.7450982332229614,0.1315663030238751,10.998028404985062,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,3,52.339168548583984,100.43482125394807,0.7069282531738281,0.14300319275569395,3.2379777917870194,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,4,53.86351013183594,103.45674386700222,0.6897883415222168,0.1471680604694971,0.31301158430909415,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,5,55.79323196411133,105.40056592293516,0.6783992052078247,0.15244052449210746,-3.3162821466905945,par_research
seasonal_residual_gru,rolling_1,par_umol_m2_s,6,57.39380645751953,106.67106365042255,0.6702051162719727,0.1568136788456818,-6.2809751906025655,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,1,52.83475112915039,94.8635739167042,0.7373724579811096,0.14435724352226884,2.5705048260275642,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,2,50.810401916503906,98.48507778783038,0.7175012826919556,0.1388262347445462,6.086829853881422,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,3,51.948490142822266,104.11701368682498,0.6850448250770569,0.14193576541754718,3.9602443776517537,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,4,53.378868103027344,106.2503262862637,0.6728092432022095,0.14584390192083974,1.2099546946513255,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,5,54.8629264831543,107.62374327808665,0.664689302444458,0.14989870623812648,-1.5935695493096935,par_research
seasonal_residual_lstm,rolling_1,par_umol_m2_s,6,55.64714813232422,108.71646842963811,0.6574363708496094,0.15204138833968367,-3.0465399512541738,par_research
